bill,year,date_intro,title,act,sector
S.9,2011,1/11/11,An act relating to sales of vinous beverages,,
H.15,2011,1/11/11,An act relating to the application of fertilizers to nonagricultural turf,,
H.10,2011,1/11/11,An act relating to the design and inspection of sport shooting ranges,,
H.17,2011,1/11/11,An act relating to the self-managed energy efficiency program,,
H.19,2011,1/11/11,An act relating to the use of plastic carry-out bags by retail stores,,
H.25,2011,1/11/11,An act relating to voting for write-in candidates in primary elections,,
H.37,2011,1/13/11,An act relating to telemedicine,107,Health Care
H.38,2011,1/13/11,An act relating to adopting the interstate compact on educational opportunity for military children,43,Education
H.30,2011,1/13/11,An act relating to requiring the board of governors of the unified towns and gores of Essex County to hear tax appeals,4,Government & Public Affairs
H.28,2011,1/13/11,An act relating to creating new governance for BlueCross BlueShield of Vermont,,
H.31,2011,1/13/11,An act relating to legislative approval of municipal charter amendments,,
H.33,2011,1/13/11,An act relating to miscellaneous education initiatives intended to decrease education spending and increase efficiencies,,
H.36,2011,1/13/11,"An act relating to nuclear energy generation, postclosure funding, and trusts for decommissioning, spent fuel management, and greenfield restoration",,
H.34,2011,1/13/11,An act relating to prohibiting the use of the neonicotinoid pesticides clothianidin and imidacloprid,,
H.32,2011,1/13/11,An act relating to providing oversight and control of county budgets,,
H.29,2011,1/13/11,An act relating to requiring a licensed land surveyor to be appointed to resolve municipal line disputes,,
H.27,2011,1/13/11,An act relating to the promotion of tourism and economic development in the Connecticut River valley,,
H.35,2011,1/13/11,An act relating to the use of pesticides in proximity to water and in utility rights-of-way,,
H.39,2011,1/14/11,An act relating to persons authorized to direct disposition of service members' remains,80,?
S.17,2011,1/14/11,An act relating to registering four nonprofit organizations to dispense marijuana for symptom relief,65,Marijuana
S.15,2011,1/14/11,An act relating to insurance coverage for midwifery services and home births,35,Health Care
H.52,2011,1/14/11,An act relating to the definition of poultry products,13,Agriculture
S.12,2011,1/14/11,An act relating to adding a member from the area agencies on aging to the governor's commission on Alzheimer's disease and related disorders,7,Health Care
H.48,2011,1/14/11,An act relating to allowing merchants to include the sales tax in the price,,
H.40,2011,1/14/11,An act relating to antique motor vehicle year-of-manufacture registration plates,,
S.16,2011,1/14/11,An act relating to confidentiality of cases accepted by the court diversion project,,
H.43,2011,1/14/11,An act relating to creating an index comparing current expenditures per pupil to secondary school cohort graduation rates,,
S.14,2011,1/14/11,An act relating to display of POW/MIA flag,,
H.42,2011,1/14/11,An act relating to employment decisions based on credit information,,
H.44,2011,1/14/11,An act relating to establishing a maternal mortality review panel,,
H.45,2011,1/14/11,An act relating to excluding tuition deficits from the definition of excess spending,,
H.51,2011,1/14/11,An act relating to gold star and next-of-kin registration plates,,
H.50,2011,1/14/11,An act relating to military pension income tax exemption,,
S.13,2011,1/14/11,An act relating to prescription drug labels,,
S.10,2011,1/14/11,An act relating to recognition of the Elnu Abenaki tribe as a Native American Indian tribe,,
S.11,2011,1/14/11,An act relating to recognition of the Nulhegan Band of the Coosuk Abenaki Nation as a Native American Indian tribe,,
H.41,2011,1/14/11,An act relating to requiring employment breaks,,
H.49,2011,1/14/11,An act relating to the calculation of household income for purposes of income sensitivity,,
S.18,2011,1/14/11,An act relating to the disclosure of tax administration information to tax representatives,,
H.47,2011,1/14/11,An act relating to the licensure of electronic life safety and property protection systems,,
H.46,2011,1/14/11,An act relating to youth athletes with concussions participating in athletic activities,,
H.53,2011,1/18/11,An act relating to the Interstate Wildlife Violator Compact,108,?
H.56,2011,1/18/11,An act relating to the Vermont Energy Act of 2011,47,Energy
H.63,2011,1/18/11,An act relating to boilers and pressure vessels,,
H.64,2011,1/18/11,An act relating to coverage for complementary and alternative health care services,,
H.57,2011,1/18/11,An act relating to disclosure to potential buyers of a building's energy performance,,
H.54,2011,1/18/11,An act relating to establishing the Vermont Hydroelectric Power Authority,,
H.58,2011,1/18/11,An act relating to fully funding the decommissioning of nuclear energy generating plants,,
S.19,2011,1/18/11,An act relating to increasing the property tax exemption for disabled veterans,,
H.62,2011,1/18/11,An act relating to requiring a standards-based performance assessment prior to graduation from secondary school,,
H.55,2011,1/18/11,An act relating to safety standards for swimming pools,,
H.61,2011,1/18/11,An act relating to the consolidation of supervisory unions,,
H.60,2011,1/18/11,An act relating to the elimination of property tax adjustments based on income,,
H.59,2011,1/18/11,An act relating to unfair housing practices,,
H.81,2011,1/20/11,An act relating to approval of the adoption and codification of the charters of the town of Danville and the Danville school district,M-1,Government & Public Affairs
H.78,2011,1/20/11,An act relating to wages for laid-off employees,124,Labor Issues
H.73,2011,1/20/11,An act relating to establishing a government transparency office to enforce the public records act,59,Government & Public Affairs
H.66,2011,1/20/11,An act relating to the illegal taking of trophy big game animals,14,Environment
H.65,2011,1/20/11,An act relating to fiscal year 2011 budget adjustment,3,Government & Public Affairs
H.80,2011,1/20/11,An act relating to a single-payer health care system,,
H.71,2011,1/20/11,An act relating to counseling for students possessing weapons on school property,,
H.69,2011,1/20/11,An act relating to creating a renewable energy property tax study committee,,
H.77,2011,1/20/11,"An act relating to excluding income earned by people over 65 years of age from the double counting of dividend or interest income over $10,000.00",,
H.68,2011,1/20/11,An act relating to prohibiting smoking in motor vehicles when a child is present,,
H.74,2011,1/20/11,An act relating to solid waste management and recycling,,
H.67,2011,1/20/11,An act relating to the appraisal of land with recreational trails,,
H.75,2011,1/20/11,An act relating to the future of the commission on health care reform,,
H.76,2011,1/20/11,An act relating to the regulation of telecommunications carriers,,
H.72,2011,1/20/11,An act relating to the repeal of small school funding,,
H.70,2011,1/20/11,An act relating to the use of unregistered all-terrain vehicles on state and town highways within the confines of a farm or adjacent to a farm,,
H.79,2011,1/20/11,An act relating to uniform adult guardianship and protective proceedings jurisdiction,,
H.88,2011,1/21/11,An act relating to uniform child custody jurisdiction and enforcement,29,Children & Youth
H.86,2011,1/21/11,An act relating to recognition of the Elnu Abenaki tribe as a Native American Indian tribe,9,?
H.85,2011,1/21/11,An act relating to recognition of the Nulhegan Band of the Coosuk Abenaki Nation as a Native American Indian tribe,8,?
H.82,2011,1/21/11,An act relating to a Vermont hospital security plan,,
H.89,2011,1/21/11,An act relating to banning the hunting of black bear with dogs,,
H.87,2011,1/21/11,"An act relating to capping income sensitivity adjustments, altering the way household income is defined, removing the adjustment for properties valued at over $500,000.00, and reinstating the adjustment of $10.00 per acre for up to five acres",,
H.84,2011,1/21/11,An act relating to dog licenses,,
S.20,2011,1/21/11,An act relating to financing campaigns for elected office,,
S.23,2011,1/21/11,An act relating to funding stormwater utilities in municipalities with stormwater-impaired waters,,
H.83,2011,1/21/11,An act relating to negligent storage of a firearm,,
S.26,2011,1/21/11,An act relating to recognition of the Koasek Abenaki of the KOAS as a Native American Indian tribe,,
S.22,2011,1/21/11,An act relating to school choice for students who have been subject to harassment,,
S.21,2011,1/21/11,An act relating to solid waste management and recycling,,
S.24,2011,1/21/11,An act relating to the regulation of toxic substances,,
S.25,2011,1/21/11,An act relating to the use of pesticides in proximity to water and in utility rights-of-way,,
H.91,2011,1/25/11,An act relating to the management of fish and wildlife,54,Environment
S.30,2011,1/25/11,An act relating to assault of a health care worker,26,Health Care
S.31,2011,1/25/11,An act relating to the Agreement Among the States to Elect the President by National Popular Vote,10,Government & Public Affairs
H.93,2011,1/25/11,An act relating to an income tax credit for home child care,,
H.105,2011,1/25/11,An act relating to authorizing municipalities to form telecommunications districts,,
H.95,2011,1/25/11,An act relating to commission on fatherhood,,
H.97,2011,1/25/11,An act relating to early childhood educators,,
S.29,2011,1/25/11,An act relating to early childhood educators,,
H.92,2011,1/25/11,An act relating to establishing a no-fault compensation program for medical malpractice claims involving primary care physicians,,
H.96,2011,1/25/11,An act relating to health care coverage for legal immigrant children and pregnant women,,
H.90,2011,1/25/11,An act relating to Lyme disease,,
H.106,2011,1/25/11,An act relating to public inspection of electronic control devices used by law enforcement officers,,
H.100,2011,1/25/11,An act relating to raising the maximum age for child care subsidies,,
H.102,2011,1/25/11,An act relating to reporting and disclosure of heating fuel prices,,
H.104,2011,1/25/11,An act relating to rescission of votes taken by Australian ballot,,
H.103,2011,1/25/11,An act relating to the Agreement Among the States to Elect the President by National Popular Vote,,
H.94,2011,1/25/11,An act relating to the corporate minimum tax,,
H.98,2011,1/25/11,An act relating to the imposition of the sales tax on candy,,
S.28,2011,1/25/11,An act relating to the permit process for protecting the environment,,
S.27,2011,1/25/11,An act relating to the role of municipalities and the public in the siting of electric generation and transmission and natural gas facilities,,
H.99,2011,1/25/11,An act relating to vital records,,
H.101,2011,1/25/11,An act relating to voting requirements in common ownership communities (2011),,
PR.2,2011,1/25/11,"Right to clean water, clean air, and nature",,
PR.1,2011,1/25/11,Right to health care,,
H.108,2011,1/27/11,An act relating to a committee to study implementing a mandatory sobriety program for repeat DUI offenders,,
H.110,2011,1/27/11,An act relating to a statewide education property tax,,
H.111,2011,1/27/11,An act relating to access to records under personal service or privatization contracts entered into by the state,,
H.129,2011,1/27/11,An act relating to advanced practice registered nurses and mental health treatment,,
H.120,2011,1/27/11,An act relating to commemorative Boy Scout motor vehicle plates,,
H.114,2011,1/27/11,An act relating to electrical installations,,
H.121,2011,1/27/11,An act relating to establishing a special motorcycle registration plate for veterans,,
H.107,2011,1/27/11,An act relating to establishing that traffic tickets and video recordings of roadside DUI stops are public records,,
H.125,2011,1/27/11,An act relating to expediting appeals of renewable energy plants eligible for federal renewable electricity production tax credits,,
H.122,2011,1/27/11,"An act relating to implementing the recommendations of Vermont's Blue Ribbon Tax Structure Commission to expand the base for sales and use taxes, and lower the sales and use tax rates",,
H.123,2011,1/27/11,An act relating to labeling genetically engineered salmon,,
H.127,2011,1/27/11,An act relating to malt and vinous beverages,,
H.118,2011,1/27/11,"An act relating to municipal establishment of speed limits within 1,000 feet of schools",,
H.116,2011,1/27/11,An act relating to prohibiting smoking in motor vehicles when a child is present,,
H.113,2011,1/27/11,An act relating to property tax exemptions for energy-efficiency and renewable-energy improvements,,
H.109,2011,1/27/11,An act relating to raising the cigarette and tobacco products tax rates,,
H.115,2011,1/27/11,An act relating to reinstating driving privileges for offenders on furlough,,
H.119,2011,1/27/11,An act relating to requiring illumination of lights on vehicles while windshield wipers are in use,,
H.126,2011,1/27/11,An act relating to requiring postsecondary credits in African-American history as a condition of teacher licensing,,
H.117,2011,1/27/11,An act relating to restrictions on nighttime operation of motor vehicles by junior operators and holders of learner's permits,,
H.130,2011,1/27/11,An act relating to the agency of natural resources' delegated authority to enforce the federal Clean Water Act,,
H.112,2011,1/27/11,An act relating to the creation of a one-percent income tax credit for emergency medical personnel or volunteer firefighters,,
H.124,2011,1/27/11,An act relating to the office of Native American affairs,,
H.128,2011,1/27/11,An act relating to the sale of alcoholic beverages at public events,,
S.37,2011,1/28/11,An act relating to expungement and sealing of criminal history records,131,Civil & Criminal Justice
S.36,2011,1/28/11,An act relating to the surplus lines insurance multi-state compliance compact,49,Insurance
S.34,2011,1/28/11,An act relating to the collection and disposal of mercury-containing lamps,36,Environment
H.138,2011,1/28/11,An act relating to executive branch fees,33,Government & Public Affairs
H.131,2011,1/28/11,An act relating to casino gaming,,
H.133,2011,1/28/11,An act relating to changing the structure of education governance and funding,,
H.140,2011,1/28/11,An act relating to designating snowboarding as the official sport of the state of Vermont,,
H.137,2011,1/28/11,An act relating to exempting nonprofit entertainment charges from the sales tax if the nonprofit organization bears the risk of loss of the production,,
H.136,2011,1/28/11,An act relating to exempting trailers in storage from the property tax,,
S.32,2011,1/28/11,An act relating to expanding the issuance of gold star registration plates,,
H.134,2011,1/28/11,"An act relating to granting postsecondary credit for successful completion of dual enrollment courses, advanced placement courses, and postsecondary courses completed through an online or correspondence course offered by an accredited postsecondary institution",,
H.141,2011,1/28/11,An act relating to improving transparency in government and economic development policy and expenditures,,
S.35,2011,1/28/11,An act relating to limiting the application of fertilizer to nonagricultural turf,,
H.139,2011,1/28/11,An act relating to noise levels of motorboats,,
H.135,2011,1/28/11,An act relating to redemption upon tax sale of real property,,
H.132,2011,1/28/11,An act relating to the creation of the Vermont Health Care False Claims Act,,
S.33,2011,1/28/11,An act relating to the development and permitting of hydroelectric projects,,
S.38,2011,1/28/11,An act relating to the Uniform Collateral Consequences of Conviction Act,,
H.157,2011,2/1/11,An act relating to restrictions on tanning beds,97,?
H.153,2011,2/1/11,An act relating to human trafficking,55,Civil & Criminal Justice
H.146,2011,2/1/11,An act relating to a public health care coverage option,,
S.42,2011,2/1/11,An act relating to art galleries serving malt or vinous beverages,,
H.156,2011,2/1/11,An act relating to direct billing by the utility of the members of a farm or group net metering system,,
H.149,2011,2/1/11,An act relating to existing hydroelectric plants of one megawatt or less,,
H.150,2011,2/1/11,An act relating to handheld use of portable electronic devices and primary seatbelt enforcement,,
H.152,2011,2/1/11,An act relating to hiring and firing authority of school boards,,
S.45,2011,2/1/11,An act relating to human trafficking,,
H.154,2011,2/1/11,An act relating to idling of heavy-duty motor vehicles,,
H.144,2011,2/1/11,An act relating to increasing fines and penalties in the enforcement of criminal and civil municipal ordinances,,
S.40,2011,2/1/11,An act relating to killing of domestic animals by dogs,,
S.43,2011,2/1/11,An act relating to nonpayment of wages,,
H.148,2011,2/1/11,An act relating to promoting innovation in education through a statewide teachers' contract and statewide teachers assessment system,,
H.155,2011,2/1/11,An act relating to property-assessed clean energy districts,,
S.39,2011,2/1/11,An act relating to public buildings,,
S.44,2011,2/1/11,An act relating to public funding of independent schools,,
H.147,2011,2/1/11,An act relating to rescission of voluntary acknowledgment of parentage,,
S.41,2011,2/1/11,An act relating to the animal abuse registry,,
H.151,2011,2/1/11,An act relating to the imposition of an excise tax on sugar-sweetened beverages,,
H.143,2011,2/1/11,An act relating to the taxation of certain Internet sales,,
H.142,2011,2/1/11,An act relating to the trapping and transport of turkeys,,
H.145,2011,2/1/11,An act relating to the use of disposable carryout bags,,
S.46,2011,2/2/11,An act relating to jurisdiction over an adult who allegedly committed criminal acts as a minor,,
S.47,2011,2/2/11,An act relating to mold insurance coverage,,
S.48,2011,2/2/11,An act relating to prohibiting a sex offender from using a false name when creating a social networking website profile,,
H.167,2011,2/3/11,An act relating to additional payment for solar power that is net metered,,
H.160,2011,2/3/11,An act relating to advertising as a local business,,
H.163,2011,2/3/11,An act relating to annual fishing tournament fees,,
H.159,2011,2/3/11,An act relating to fishing access at Lake Champlain Bridge,,
H.165,2011,2/3/11,An act relating to health insurance rates and consumer protection,,
H.166,2011,2/3/11,An act relating to limitations on liability for municipal and state landowners,,
H.162,2011,2/3/11,An act relating to lottery-linked deposit accounts,,
H.168,2011,2/3/11,An act relating to notice of meetings of public bodies,,
H.161,2011,2/3/11,An act relating to regulating the sale of propane gas,,
H.158,2011,2/3/11,An act relating to the establishment of a paint stewardship program,,
H.164,2011,2/3/11,An act relating to the surplus lines insurance multi-state compliance compact,,
S.49,2011,2/4/11,An act relating to commercial motor vehicle operation on the interstate system,23,Transportation
H.172,2011,2/4/11,An act relating to repealing the sale or lease of the John F. Boylan airport,11,Government & Public Affairs
H.171,2011,2/4/11,An act relating to a prescription drug and medical supply repository program,,
H.174,2011,2/4/11,An act relating to deferral of property tax for persons over age 65,,
H.177,2011,2/4/11,An act relating to extending the time within which the Battenkill Valley Supervisory Union shall consider the advisability of joining an adjacent supervisory union,,
H.173,2011,2/4/11,An act relating to games of chance,,
H.176,2011,2/4/11,An act relating to health insurance coverage for bone marrow testing,,
H.169,2011,2/4/11,An act relating to making miscellaneous changes to technical education laws and other education laws,,
H.175,2011,2/4/11,"An act relating to optional property tax certification of public, pious, or charitable use",,
H.170,2011,2/4/11,An act relating to public funding of independent schools,,
S.51,2011,2/4/11,An act relating to recovering noneconomic damages for an intentional killing of a pet,,
S.50,2011,2/4/11,An act relating to shared legal responsibility of children in a divorce proceeding,,
S.52,2011,2/4/11,An act relating to workplace bullying,,
H.201,2011,2/8/11,An act relating to hospice and palliative care,60,Health Care
H.202,2011,2/8/11,An act relating to a universal and unified health system,48,Health Care
S.53,2011,2/8/11,An act relating to the number of prekindergarten children included within a school district's average daily membership,38,Education
H.198,2011,2/8/11,An act relating to a transportation policy that considers all users,34,Transportation
S.57,2011,2/8/11,An act relating to a single-payer and unified health system,,
H.183,2011,2/8/11,An act relating to allowing a safety inspection of rental property,,
H.206,2011,2/8/11,An act relating to amending Act 250 to support growth in compact urban and village centers surrounded by countryside,,
H.180,2011,2/8/11,An act relating to authorizing motor vehicle use on state lands for hunting by senior citizens or persons with a disability,,
H.181,2011,2/8/11,An act relating to capping payments to municipalities from traffic violation revenue,,
H.194,2011,2/8/11,An act relating to civil immunity for volunteer coaches,,
H.182,2011,2/8/11,An act relating to emergency personnel wages,,
H.189,2011,2/8/11,An act relating to energy efficiency of vending machines on state property,,
S.54,2011,2/8/11,An act relating to extending the sales tax to Internet sales,,
H.208,2011,2/8/11,An act relating to highly compensated employees business surcharge,,
H.200,2011,2/8/11,An act relating to insurance coverage for midwifery services and home births,,
H.178,2011,2/8/11,An act relating to leaving a child or person under care of another unattended in a motor vehicle,,
H.184,2011,2/8/11,An act relating to lottery vending machines,,
H.193,2011,2/8/11,An act relating to lowering to 16 the age of consent for blood donation,,
H.207,2011,2/8/11,An act relating to monthly property tax collection for mobile homes,,
H.199,2011,2/8/11,An act relating to naming contributors in campaign finance reports,,
H.187,2011,2/8/11,An act relating to notice of ineligibility for an income sensitivity adjustment due to a change in homestead status,,
H.203,2011,2/8/11,An act relating to probable cause hearings for mental health admissions,,
H.190,2011,2/8/11,An act relating to prohibiting a sex offender from using a false name when creating a social networking website profile,,
H.204,2011,2/8/11,"An act relating to promoting positive behavioral intervention and supports in schools, reducing the use of physical restraint, and prohibiting the use of other behavioral interventions",,
H.197,2011,2/8/11,An act relating to registration of motor vehicles and unpaid judgments for parking violations,,
H.185,2011,2/8/11,An act relating to regulating fees and charges for propane gas,,
H.188,2011,2/8/11,An act relating to regulating rental-purchase transactions,,
H.192,2011,2/8/11,An act relating to replacement of VT Route 65 floating bridge over Sunset Lake in the town of Brookfield,,
H.196,2011,2/8/11,An act relating to replacing road signs on VT Route 102,,
H.186,2011,2/8/11,An act relating to requiring lobbyists to wear badges in the state house,,
H.179,2011,2/8/11,An act relating to requiring the state to pay for 100 percent of special education expenditures,,
H.195,2011,2/8/11,An act relating to spending authorization and appropriations for resurfacing VT Route 102,,
S.56,2011,2/8/11,An act relating to the filing and review of rate filings made by health insurers,,
S.55,2011,2/8/11,An act relating to the prohibition of fee schedules for uncovered dental services in a dental insurance plan,,
H.209,2011,2/8/11,An act relating to transfer of guardianship or adoption proceedings from probate to family court,,
H.205,2011,2/8/11,An act relating to transportation of psychiatric patients,,
H.191,2011,2/8/11,An act relating to use of tobacco products at ski areas,,
H.210,2011,2/9/11,An act relating to informing consumers about the ban on felt soled boot and wader use,,
H.211,2011,2/9/11,An act relating to public education about felt-soled boots and waders,,
H.214,2011,2/9/11,An act relating to the collection and disposal of mercury-containing lamps,,
H.213,2011,2/9/11,An act relating to the use and transport of baitfish,,
H.212,2011,2/9/11,An act relating to the use of lead sinkers,,
H.220,2011,2/10/11,An act relating to Act 250 jurisdiction in towns that do and do not have both permanent zoning subdivisions and subdivision bylaws,,
H.223,2011,2/10/11,An act relating to allowing land used as private shooting grounds to qualify for the current use program,,
H.222,2011,2/10/11,An act relating to arbitration of medical malpractice claims,,
H.217,2011,2/10/11,An act relating to authorizing taxation of common interest community property,,
H.216,2011,2/10/11,An act relating to preserving federally assisted affordable housing,,
H.218,2011,2/10/11,An act relating to producer responsibility for solid waste,,
H.215,2011,2/10/11,An act relating to providing health care services within the department of corrections,,
H.221,2011,2/10/11,An act relating to regulation of the retail liquified petroleum (propane) gas industry,,
H.219,2011,2/10/11,"An act relating to school districts that developed a FY 2012 budget meeting, the proposed reductions recommended pursuant to Challenges for Change",,
H.224,2011,2/10/11,An act relating to small condominiums,,
H.225,2011,2/10/11,An act relating to video contact between incarcerated parents and their minor children,,
S.58,2011,2/11/11,An act relating to jurisdiction of a crime committed when the defendant was under the age of 16,16,Children & Youth
H.231,2011,2/11/11,"An act relating to a study of the workers' compensation program, health care coverage, and a single-payer health care system",,
H.230,2011,2/11/11,An act relating to adjustments to the definition of household income in the income sensitivity program,,
S.64,2011,2/11/11,An act relating to amending the attorney general's term of office from two years to four years,,
S.60,2011,2/11/11,An act relating to applying the federal alternative minimum tax at the state level,,
S.66,2011,2/11/11,An act relating to assault of a health care worker,,
H.232,2011,2/11/11,An act relating to authorizing award of funds to the poor or indigent in executive session of a public body,,
H.226,2011,2/11/11,An act relating to changing the name of Columbus Day to Indigenous People's Day,,
S.65,2011,2/11/11,An act relating to driving while intoxicated and to forfeiture and registration of motor vehicles,,
H.227,2011,2/11/11,An act relating to funding the Twinfield USD #33 biomass project,,
H.233,2011,2/11/11,An act relating to global hospital budgets and health care reform,,
S.59,2011,2/11/11,An act relating to negligent storage of a firearm,,
S.62,2011,2/11/11,An act relating to renaming the John H. Boylan Airport,,
H.229,2011,2/11/11,An act relating to requiring that certain surgical procedures on dogs be performed by a licensed veterinarian,,
S.63,2011,2/11/11,An act relating to state purchasing from local and socially responsible businesses,,
H.228,2011,2/11/11,An act relating to the creation of an early care and education task force,,
S.61,2011,2/11/11,An act relating to the imposition of a delinquency penalty for the paying of property taxes,,
PR.3,2011,2/11/11,Elections; officers; terms of office; four-year terms,,
H.254,2011,2/15/11,An act relating to consumer protection,109,?
H.240,2011,2/15/11,An act relating to continuing to provide for the receivership of long-term care facilities,12,Health Care
H.236,2011,2/15/11,An act relating to extending the limitation of prosecutions for sexual abuse of a vulnerable adult,6,Civil & Criminal Justice
H.255,2011,2/15/11,An act relating to allowing solid waste districts to transport and dispose of electronic waste under the state electronic waste recycling plan,,
H.245,2011,2/15/11,An act relating to education property tax rates,,
H.252,2011,2/15/11,An act relating to exempting lump-sum payments from the definition of household income,,
S.69,2011,2/15/11,An act relating to government purchasing of Vermont products and services,,
H.244,2011,2/15/11,An act relating to gun silencers,,
H.253,2011,2/15/11,An act relating to increasing the homestead exemption,,
H.247,2011,2/15/11,An act relating to independent contractors,,
H.241,2011,2/15/11,An act relating to nominations by multiple parties,,
S.68,2011,2/15/11,An act relating to nonunanimous jury verdicts in civil actions,,
H.248,2011,2/15/11,An act relating to notice of open meetings,,
H.238,2011,2/15/11,An act relating to payment of wages,,
H.249,2011,2/15/11,An act relating to prohibiting the hunting of crows,,
H.234,2011,2/15/11,"An act relating to providing state financial support for school lunches, summer meals, and snacks for low income children",,
H.239,2011,2/15/11,An act relating to public sector fair share agency fees,,
H.256,2011,2/15/11,An act relating to recovering noneconomic damages for an intentional killing of a pet,,
H.246,2011,2/15/11,An act relating to regulation of flavored malt beverages,,
H.250,2011,2/15/11,An act relating to submetered electric service,,
H.243,2011,2/15/11,An act relating to tax reform recommendations of the Vermont Blue Ribbon Tax Structure Commission,,
H.242,2011,2/15/11,An act relating to the creation of an advisory council on organ and tissue donations and transplants,,
S.67,2011,2/15/11,An act relating to the open meeting law,,
H.251,2011,2/15/11,An act relating to the taxation of spirituous liquors,,
H.237,2011,2/15/11,An act relating to the use value program,,
H.235,2011,2/15/11,An act relating to wheelchair accessibility,,
H.258,2011,2/16/11,An act relating to public participation in environmental enforcement proceedings,73,Environment
H.263,2011,2/16/11,An act relating to a municipality warning a meeting,,
H.261,2011,2/16/11,An act relating to allowing towns to replace elected listers with appointed appraisers,,
H.257,2011,2/16/11,An act relating to creating a uniform date by which various election petitions must be filed,,
H.260,2011,2/16/11,An act relating to flavored malt beverages,,
S.70,2011,2/16/11,An act relating to hospital and home health assessments,,
H.259,2011,2/16/11,An act relating to increasing the number of members on the liquor control board,,
H.262,2011,2/16/11,An act relating to prohibiting the use of robotic telephone calls that support or oppose a candidate for elected office,,
H.272,2011,2/17/11,An act relating to maintenance of private roads,123,Real Estate
H.264,2011,2/17/11,"An act relating to driving while intoxicated, forfeiture and registration of motor vehicles, the blood and breath alcohol testing and alcohol screening program, the minor guardianship study committee, confidentiality of cases accepted by the court diversion project, and the uniform adult guardianship and protective proceedings jurisdiction act",56,Civil & Criminal Justice
H.275,2011,2/17/11,An act relating to the recently deployed veteran tax credit,44,?
S.73,2011,2/17/11,An act relating to raising the penalties for eluding a police officer,42,Civil & Criminal Justice
H.273,2011,2/17/11,An act relating to a bill of rights for children of arrested and incarcerated parents,,
H.266,2011,2/17/11,An act relating to a screening panel for medical injury claims,,
H.267,2011,2/17/11,An act relating to appropriation for John Deere memorial,,
H.269,2011,2/17/11,An act relating to approving county budgets,,
H.265,2011,2/17/11,An act relating to assault of a health care worker,,
H.277,2011,2/17/11,An act relating to automobile self-insurance,,
H.268,2011,2/17/11,An act relating to municipal taxation and abatement,,
H.274,2011,2/17/11,An act relating to patient choice and control at end of life,,
H.270,2011,2/17/11,An act relating to periodic reporting by a town treasurer to the town selectboard,,
H.271,2011,2/17/11,An act relating to potable water supply and wastewater treatment system permits,,
S.72,2011,2/17/11,An act relating to submetered electric service,,
H.276,2011,2/17/11,An act relating to the dissolution of a civil union when the parties are married to one another and intend to continue the marriage,,
S.71,2011,2/17/11,An act relating to the elimination of legislators as members of the boards of trustees of the Vermont state colleges and the University of Vermont,,
S.74,2011,2/18/11,An act relating to the transferring of the animal spaying and neutering program to the agency of human services,57,Environment
H.287,2011,2/18/11,"An act relating to job creation, economic development, and buy local agriculture",52,?
